replicate,day,start_time,end_time,focal,partner,avoid,success,abort,behaviour,notes,patch_focal,patch_partner,treatment
1,1,8:03:01 AM,,",6","5,",y,y,NA,mount,,G,P,isolated
1,1,8:03:29 AM,8:08:59 AM,",6","2,",y,n,n,insemination,,G,I,social
1,1,8:06:48 AM,,",8","1,",y,y,NA,mount,,H,K,social
1,1,8:07:22 AM,,",8","1,",n,NA,y,mount,,H,K,social
1,1,8:10:10 AM,,",6","2,",n,NA,y,mount,,G,I,social
1,1,8:10:17 AM,,",8","1,",y,y,NA,mount,,H,K,social
1,1,8:11:44 AM,8:14:01 AM,",4","0,",n,NA,n,insemination,,E,L,social
1,1,8:12:06 AM,,",6","6,",y,y,NA,mount,,G,M,isolated
1,1,8:14:02 AM,,",8","1,",y,y,NA,mount,,H,K,social
1,1,8:14:23 AM,,",1","1,",y,y,NA,mount,,B,K,social
1,1,8:14:46 AM,,",6","2,",n,NA,y,mount,,G,I,social
1,1,8:15:44 AM,8:17:49 AM,",6","5,",n,NA,n,insemination,,G,P,isolated
1,1,8:22:40 AM,8:23:40 AM,",0","0,",y,n,n,insemination,,A,L,social
1,1,8:24:47 AM,,",8","2,",y,y,NA,mount,,H,I,social
1,1,8:25:01 AM,,",8","0,",y,y,NA,mount,,H,L,social
1,1,8:25:26 AM,,",8","0,",y,n,y,mount,,H,L,social
1,1,8:26:44 AM,,",8","6,",y,n,y,mount,,H,M,isolated
1,1,8:27:19 AM,8:28:50 AM,",6","2,",n,NA,n,insemination,,G,I,social
1,1,8:27:46 AM,,",1","5,",n,NA,y,mount,male lousy,B,P,isolated
1,1,8:29:16 AM,,",8","6,",y,y,NA,mount,female was against wall,H,M,isolated
1,1,8:31:32 AM,,",6","0,",y,y,NA,mount,,G,L,social
1,1,8:34:34 AM,8:36:10 AM,",3","9,",y,n,n,insemination,,D,N,isolated
1,1,8:38:50 AM,,",8","9,",y,y,NA,mount,,H,N,isolated
1,1,8:38:56 AM,,",8","8,",n,NA,y,mount,,H,O,isolated
1,1,8:39:32 AM,8:40:20 AM,",5","2,",n,NA,n,insemination,,F,I,social
1,1,8:41:18 AM,,",8","9,",n,NA,y,mount,,H,N,isolated
1,1,8:42:12 AM,,",1","8,",n,NA,y,mount,male lousy,B,O,isolated
1,1,8:43:58 AM,,",3","2,",y,n,y,mount,,D,I,social
1,1,8:45:49 AM,,",0","6,",y,y,NA,mount,,A,M,isolated
1,1,8:45:52 AM,,",6","5,",y,y,NA,mount,,G,P,isolated
1,1,8:46:08 AM,,",6","8,",y,y,NA,mount,,G,O,isolated
1,1,8:46:25 AM,,",6","5,",y,y,NA,mount,,G,P,isolated
1,1,8:47:35 AM,,",5","8,",n,NA,y,mount,,F,O,isolated
1,1,8:52:33 AM,8:55:04 AM,",6","6,",n,NA,n,insemination,,G,M,isolated
1,1,8:53:12 AM,,",8","4,",n,NA,y,mount,,H,J,social
1,1,9:04:02 AM,,",1","5,",n,NA,y,mount,male lousy,B,P,isolated
1,1,9:04:34 AM,,",6","6,",n,NA,y,mount,,G,M,isolated
1,1,9:05:22 AM,9:07:00 AM,",2","2,",n,NA,n,insemination,end time is an estimate,C,I,social
1,1,9:17:14 AM,,",1","5,",y,y,NA,mount,,B,P,isolated
1,1,9:17:59 AM,,",0","9,",n,NA,y,mount,,A,N,isolated
1,1,9:18:36 AM,,",1","5,",n,NA,y,mount,lousy male,B,P,isolated
1,1,9:19:36 AM,,",1","5,",n,NA,y,mount,lousy male,B,P,isolated
1,1,9:43:24 AM,,",6","0,",n,NA,y,mount,,G,L,social
1,1,9:48:22 AM,,",1","5,",y,y,NA,mount,,B,P,isolated
1,1,9:53:26 AM,,",1","5,",y,y,NA,mount,,B,P,isolated
1,1,10:23:14 AM,,",1","4,",n,NA,y,mount,male lousy,B,J,social
1,1,12:20:54 PM,,",5","8,",n,NA,y,mount,,F,O,isolated
1,1,12:30:47 PM,,",1","8,",n,NA,y,mount,lousy male,B,O,isolated
1,1,12:37:25 PM,,",8","1,",n,NA,y,mount,,H,K,social
1,1,12:39:49 PM,12:40:36 PM,",3","9,",y,n,n,insemination,,D,N,isolated
1,1,1:00:43 PM,,",5","8,",y,y,NA,mount,,F,O,isolated
1,1,1:29:37 PM,,",1","1,",n,NA,y,mount,,B,K,social
1,1,1:37:24 PM,,",8","4,",n,NA,y,mount,,H,J,social
1,1,1:48:18 PM,,",8","4,",n,NA,y,mount,stayed on top of female; couldn't get into position,H,J,social
1,1,2:07:44 PM,,",8","4,",y,y,NA,mount,,H,J,social
1,1,2:19:29 PM,2:19:50 PM,",5","8,",n,NA,n,insemination,,F,O,isolated
1,1,2:36:28 PM,,",2","8,",y,y,NA,mount,,C,O,isolated
1,1,3:11:26 PM,3:12:03 PM,",2","8,",n,NA,n,insemination,,C,O,isolated
1,1,3:14:08 PM,,",8","4,",y,y,NA,mount,,H,J,social
1,1,3:15:11 PM,3:15:58 PM,",4","8,",n,NA,n,insemination,,E,O,isolated
1,1,3:27:51 PM,,",2","8,",n,NA,y,mount,,C,O,isolated
1,1,3:40:52 PM,3:41:23 PM,",3","8,",y,n,n,insemination,,D,O,isolated
1,1,3:49:50 PM,,",8","4,",y,y,NA,mount,,H,J,social
1,2,8:17:42 AM,8:18:36 AM,",2","4,",n,NA,n,insemination,,C,J,social
1,2,9:32:11 AM,,",2","1,",n,NA,y,mount,,C,K,social
1,2,9:43:07 AM,,",5","8,",n,NA,y,mount,,F,O,isolated
1,2,10:03:11 AM,10:03:47 AM,",2","1,",n,NA,n,insemination,,C,K,social
1,2,10:11:15 AM,,",3","4,",n,NA,y,mount,,D,J,social
1,2,10:16:13 AM,,",3","4,",n,NA,y,mount,,D,J,social
1,2,10:36:36 AM,,",8","0,",y,y,NA,mount,,H,L,social
1,2,10:44:31 AM,,",8","0,",y,y,NA,mount,,H,L,social
1,2,10:49:11 AM,,",5","8,",n,NA,y,mount,,F,O,isolated
1,2,10:55:17 AM,,",8","0,",n,NA,y,mount,,H,L,social
1,2,11:12:58 AM,,",8","0,",n,NA,y,mount,,H,L,social
1,2,11:21:26 AM,,",6","0,",y,y,NA,mount,,G,L,social
1,2,11:51:37 AM,,",8","0,",y,y,NA,mount,,H,L,social
1,2,12:18:08 PM,,",2","5,",y,y,NA,mount,,C,P,isolated
1,2,12:39:26 PM,,",1","8,",n,NA,y,mount,weird male,B,O,isolated
1,2,12:46:17 PM,,",5","8,",n,NA,y,mount,,F,O,isolated
1,2,1:43:49 PM,,",3","4,",y,y,NA,mount,refusal stance,D,J,social
1,2,2:08:17 PM,,",3","4,",y,y,NA,mount,,D,J,social
1,2,2:20:28 PM,2:21:06 PM,",4","1,",n,NA,n,insemination,,E,K,social
1,2,2:30:35 PM,,",4","5,",y,y,NA,mount,,E,P,isolated
1,2,2:30:53 PM,,",3","2,",y,y,NA,mount,,D,I,social
1,2,2:32:02 PM,,",1","8,",n,NA,y,mount,weird male,B,O,isolated
1,2,2:36:02 PM,2:36:29 PM,",4","4,",n,NA,n,insemination,,E,J,social
1,2,2:36:59 PM,,",4","5,",y,y,NA,mount,,E,P,isolated
1,2,2:46:36 PM,,",5","8,",y,y,NA,mount,,F,O,isolated
1,2,2:49:21 PM,,",1","6,",n,NA,y,mount,,B,M,isolated
1,2,3:02:07 PM,,",8","5,",n,NA,y,mount,,H,P,isolated
1,2,3:06:23 PM,3:07:03 PM,",3","4,",n,NA,n,insemination,,D,J,social
1,2,3:09:32 PM,,",6","0,",y,y,NA,mount,refusal stance,G,L,social
1,2,3:10:48 PM,,",8","5,",n,NA,y,mount,,H,P,isolated
1,2,3:12:19 PM,,",8","5,",y,y,NA,mount,,H,P,isolated
1,2,3:17:04 PM,,",0","5,",n,NA,y,mount,,A,P,isolated
1,2,3:29:32 PM,,",1","4,",n,NA,y,mount,weird male,B,J,social
1,2,3:30:37 PM,,",5","4,",y,y,NA,mount,,F,J,social
1,2,3:52:47 PM,,",0","4,",n,NA,y,mount,,A,J,social
1,2,3:53:59 PM,,",8","4,",y,y,NA,mount,,H,J,social
1,2,3:54:12 PM,,",0","0,",n,NA,y,mount,,A,L,social
2,1,8:04:23 AM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,1,8:05:57 AM,,",4","8,",n,NA,n,insemination,checked footage and validated,D,P,isolated
2,1,8:07:00 AM,,",2","1,",n,NA,n,insemination,checked footage and validated,B,J,social
2,1,8:07:00 AM,,",3","9,",n,NA,n,insemination,checked footage and validated,C,N,isolated
2,1,8:10:01 AM,,",5","1,",n,NA,n,insemination,checked footage and validated,E,J,social
2,1,8:10:12 AM,,",2","9,",n,NA,y,mount,checked footage and validated,B,N,isolated
2,1,8:12:32 AM,,",3","1,",n,NA,y,mount,,C,J,social
2,1,8:12:53 AM,,",4","4,",n,NA,y,mount,,D,O,isolated
2,1,8:15:31 AM,8:16:57 AM,",9","9,",n,NA,n,insemination,,H,N,isolated
2,1,8:16:18 AM,8:16:43 AM,",7","7,",n,NA,n,insemination,,F,I,social
2,1,8:18:49 AM,,",9","7,",n,NA,y,mount,weird - not in position,H,I,social
2,1,8:19:41 AM,,",3","1,",n,NA,y,mount,,C,J,social
2,1,8:24:25 AM,,",2","1,",N,NA,Y,mount,,B,J,social
2,1,8:28:35 AM,,",2","0,",n,NA,y,mount,,B,M,isolated
2,1,8:29:15 AM,,",2","9,",n,NA,y,mount,,B,N,isolated
2,1,8:30:27 AM,,",2","1,",n,NA,y,mount,,B,J,social
2,1,8:32:36 AM,8:33:23 AM,",5","9,",n,NA,n,insemination,,E,N,isolated
2,1,8:36:19 AM,8:36:48 AM,",7","0,",n,NA,n,insemination,,F,M,isolated
2,1,8:48:03 AM,,",4","1,",n,NA,y,mount,,D,J,social
2,1,8:53:06 AM,,",2","1,",n,NA,y,mount,,B,J,social
2,1,8:55:01 AM,,",2","1,",n,NA,y,mount,,B,J,social
2,1,9:01:18 AM,,",2","0,",n,NA,y,mount,,B,M,isolated
2,1,9:01:38 AM,9:02:01 AM,",2","7,",n,NA,n,insemination,,B,I,social
2,1,9:07:11 AM,,",3","1,",n,NA,y,mount,,C,J,social
2,1,9:27:28 AM,,",9","7,",n,NA,y,mount,,H,I,social
2,1,9:37:33 AM,,",4","5,",n,NA,y,mount,,D,K,social
2,1,9:38:44 AM,9:40:55 AM,",3","5,",n,NA,n,insemination,,C,K,social
2,1,9:39:50 AM,,",9","9,",n,NA,y,mount,,H,N,isolated
2,1,9:43:04 AM,,",2","5,",n,NA,y,mount,,B,K,social
2,1,9:44:57 AM,9:46:07 AM,",9","9,",n,NA,n,insemination,"odd, they have beem on top of each other for a long time, potentially getting in and out of position, I believe this was insemination though",H,N,isolated
2,1,10:00:57 AM,10:02:38 AM,",0","4,",n,NA,n,insemination,Weird position but I think insemination,A,O,isolated
2,1,10:16:59 AM,,",0","4,",n,NA,y,mount,,A,O,isolated
2,1,12:16:00 PM,12:16:22 PM,",0","0,",n,NA,n,insemination,,A,M,isolated
2,1,1:38:30 PM,,",5","1,",n,NA,n,insemination,,E,J,social
2,1,1:51:12 PM,,",3","1,",n,NA,y,mount,,C,J,social
2,1,2:20:03 PM,2:20:30 PM,",2","7,",n,NA,n,insemination,,B,I,social
2,1,8:07:00 AM,,",8","4,",y,n,n,insemination,checked footage and validated,G,O,isolated
2,1,8:10:27 AM,8:11:00 AM,",7","4,",y,n,n,insemination,checked footage and validated,F,O,isolated
2,1,8:11:12 AM,,",2","9,",y,n,y,mount,,B,N,isolated
2,1,8:13:13 AM,,",2","0,",y,n,y,mount,,B,M,isolated
2,1,8:44:14 AM,,",7","9,",y,n,y,mount,,F,N,isolated
2,1,1:17:58 PM,,",9","0,",y,n,y,mount,,H,M,isolated
2,1,1:43:21 PM,,",3","1,",y,n,y,mount,,C,J,social
2,1,1:45:28 PM,1:46:14 PM,",2","1,",y,n,n,insemination,,B,J,social
2,1,2:19:40 PM,2:20:15 PM,",0","0,",y,n,n,insemination,,A,M,isolated
2,1,2:26:53 PM,,",7","4,",y,n,y,mount,,F,O,isolated
2,1,2:33:22 PM,,",0","9,",y,n,y,mount,,A,N,isolated
2,1,2:54:23 PM,2:55:01 PM,",4","9,",y,n,n,insemination,,D,N,isolated
2,1,3:35:52 PM,,",0","7,",y,NA,y,mount,,A,I,social
2,1,3:43:50 PM,3:44:54 PM,",0","9,",y,n,n,insemination,,A,N,isolated
2,1,8:04:10 AM,,",2","9,",y,y,NA,mount,,B,N,isolated
2,1,8:06:59 AM,,",5","1,",y,y,NA,mount,,E,J,social
2,1,unsure,,",3","1,",y,y,NA,mount,added from footage,C,J,social
2,1,8:14:23 AM,,",2","7,",y,y,NA,mount,,B,I,social
2,1,8:15:38 AM,,",3","1,",y,y,NA,mount,,C,J,social
2,1,8:22:15 AM,,",7","0,",Y,Y,NA,mount,,F,M,isolated
2,1,8:25:28 AM,,",3","9,",Y,Y,NA,mount,,C,N,isolated
2,1,8:36:37 AM,,",9","7,",y,y,NA,mount,,H,I,social
2,1,8:37:10 AM,,",3","9,",y,y,NA,mount,,C,N,isolated
2,1,8:39:35 AM,,",2","1,",y,y,NA,mount,,B,J,social
2,1,8:39:42 AM,,",3","1,",y,y,NA,mount,,C,J,social
2,1,8:40:13 AM,,",0","0,",y,y,NA,mount,,A,M,isolated
2,1,8:42:46 AM,,",0","1,",y,y,NA,mount,,A,J,social
2,1,8:43:25 AM,,",0","1,",y,y,NA,mount,,A,J,social
2,1,8:44:57 AM,,",9","9,",y,y,NA,mount,,H,N,isolated
2,1,8:47:06 AM,,",4","0,",y,y,NA,mount,,D,M,isolated
2,1,8:53:17 AM,,",3","7,",y,y,NA,mount,,C,I,social
2,1,9:03:28 AM,,",2","0,",y,y,NA,mount,,B,M,isolated
2,1,9:31:36 AM,,",8","4,",y,y,NA,mount,,G,O,isolated
2,1,9:35:05 AM,,",9","5,",y,y,NA,mount,,H,K,social
2,1,9:43:32 AM,,",2","5,",y,y,NA,mount,,B,K,social
2,1,10:39:08 AM,,",3","9,",y,y,NA,mount,,C,N,isolated
2,1,1:15:33 PM,,",9","0,",y,y,NA,mount,,H,M,isolated
2,1,1:16:12 PM,,",2","0,",y,y,NA,mount,,B,M,isolated
2,1,1:20:30 PM,,",3","7,",y,y,NA,mount,,C,I,social
2,1,1:44:58 PM,,",3","1,",y,y,NA,mount,,C,J,social
2,1,3:45:59 PM,,",0","9,",y,y,NA,mount,weird,A,N,isolated
2,2,8:17:27 AM,,",2","5,",n,NA,y,mount,,B,K,social
2,2,8:32:12 AM,,",2","5,",n,NA,y,mount,,B,K,social
2,2,9:39:51 AM,,",7","7,",n,NA,y,mount,unsure,F,I,social
2,2,9:46:08 AM,,",2","6,",n,NA,y,mount,,B,L,social
2,2,9:52:13 AM,,",2","6,",n,NA,y,mount,,B,L,social
2,2,10:25:25 AM,,",2","6,",n,NA,y,mount,,B,L,social
2,2,10:51:57 AM,,",2","1,",n,NA,y,mount,,B,J,social
2,2,11:13:40 AM,,",7","7,",n,NA,y,mount,,F,I,social
2,2,12:01:03 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,12:03:29 PM,,",3","7,",n,NA,y,mount,,C,I,social
2,2,12:04:53 PM,,",3","7,",n,NA,y,mount,,C,I,social
2,2,12:05:00 PM,,",3","5,",n,NA,y,mount,,C,K,social
2,2,12:08:12 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,12:08:56 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,12:09:39 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,12:10:21 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,12:12:38 PM,,",2","1,",n,NA,y,mount,,B,J,social
2,2,12:18:10 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,12:20:19 PM,,",5","5,",n,NA,y,mount,,E,K,social
2,2,12:23:21 PM,,",3","1,",n,NA,y,mount,,C,J,social
2,2,12:23:36 PM,,",3","5,",n,NA,y,mount,,C,K,social
2,2,12:25:20 PM,,",3","4,",n,NA,y,mount,,C,O,isolated
2,2,12:26:26 PM,,",3","4,",n,NA,y,mount,,C,O,isolated
2,2,12:27:23 PM,12:28:26 PM,",5","5,",n,NA,n,insemination,,E,K,social
2,2,12:27:49 PM,,",3","1,",n,NA,y,mount,,C,J,social
2,2,12:33:48 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,12:33:49 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,12:33:53 PM,,",3","7,",n,NA,y,mount,,C,I,social
2,2,12:35:53 PM,,",3","5,",n,NA,y,mount,,C,K,social
2,2,12:36:22 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,12:37:36 PM,,",3","1,",n,NA,y,mount,,C,J,social
2,2,12:37:54 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,12:38:58 PM,,",0","5,",n,NA,y,mount,,A,K,social
2,2,12:39:32 PM,12:39:56 PM,",9","5,",n,NA,n,insemination,,H,K,social
2,2,12:42:49 PM,12:43:19 PM,",3","1,",n,NA,n,insemination,,C,J,social
2,2,12:44:02 PM,,",5","7,",n,NA,y,mount,,E,I,social
2,2,12:45:20 PM,,",3","7,",n,NA,y,mount,,C,I,social
2,2,12:49:36 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,12:49:53 PM,,",3","5,",n,NA,y,mount,,C,K,social
2,2,12:55:13 PM,,",3","5,",n,NA,y,mount,,C,K,social
2,2,1:07:50 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,1:13:41 PM,,",3","5,",n,NA,y,mount,,C,K,social
2,2,1:25:32 PM,1:26:07 PM,",0","5,",n,NA,n,insemination,,A,K,social
2,2,1:30:12 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,1:34:46 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,1:39:37 PM,,",0","0,",n,NA,y,mount,,A,M,isolated
2,2,1:41:02 PM,,",4","0,",n,NA,y,mount,,D,M,isolated
2,2,1:42:22 PM,,",9","0,",n,NA,y,mount,,H,M,isolated
2,2,1:43:41 PM,,",3","7,",n,NA,y,mount,,C,I,social
2,2,1:45:19 PM,,",8","0,",n,NA,y,mount,,G,M,isolated
2,2,1:47:10 PM,,",3","1,",n,NA,y,mount,,C,J,social
2,2,1:51:50 PM,,",5","7,",n,NA,y,mount,,E,I,social
2,2,2:03:51 PM,,",6","0,",n,NA,y,mount,,NA,M,isolated
2,2,2:07:23 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,2:25:22 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,2:29:44 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,2:31:39 PM,,",3","1,",n,NA,y,mount,,C,J,social
2,2,2:31:55 PM,,",5","7,",n,NA,y,mount,,E,I,social
2,2,2:36:53 PM,,",3","6,",n,NA,y,mount,,C,L,social
2,2,2:38:54 PM,,",0","1,",n,NA,y,mount,,A,J,social
2,2,2:40:08 PM,2:40:57 PM,",5","4,",n,NA,n,insemination,,E,O,isolated
2,2,2:41:13 PM,,",3","4,",n,NA,y,mount,,C,O,isolated
2,2,2:45:05 PM,,",2","0,",n,NA,y,mount,,B,M,isolated
2,2,3:12:12 PM,,",2","1,",n,NA,y,mount,,B,J,social
2,2,3:13:10 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,3:16:49 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,3:17:56 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,3:19:33 PM,,",3","4,",n,NA,y,mount,,C,O,isolated
2,2,3:19:52 PM,,",3","0,",n,NA,y,mount,,C,M,isolated
2,2,3:23:16 PM,,",3","7,",n,NA,y,mount,,C,I,social
2,2,3:26:02 PM,,",3","7,",n,NA,y,mount,,C,I,social
2,2,3:31:06 PM,,",3","4,",n,NA,y,mount,,C,O,isolated
2,2,3:34:21 PM,,",3","9,",n,NA,y,mount,,C,N,isolated
2,2,3:40:56 PM,,",5","9,",n,NA,y,mount,,E,N,isolated
2,2,10:25:57 AM,10:26:15 AM,",2","5,",y,n,n,insemination,not sure if long enough to be insem,B,K,social
2,2,10:34:08 AM,,",2","5,",y,n,y,mount,,B,K,social
2,2,11:38:44 AM,,",2","6,",y,n,y,mount,,B,L,social
