replicate,day,treatment,ID,inseminations,mounts,attempt_avoid,success_avoid,prop_avoid,avoid_success,abort,abort_choice
1,1,social,I,4,8,3,1,0.375,0.333333333,,
1,2,social,I,0,1,1,1,1,1,,
1,both,social,I,4,9,4,2,0.444444444,0.5,,
1,1,social,J,0,7,3,3,0.428571429,1,,
1,2,social,J,3,11,4,4,0.363636364,1,,
1,both,social,J,3,18,7,7,0.388888889,1,,
1,1,social,K,0,7,4,4,0.571428571,1,,
1,2,social,K,2,3,0,0,0,NA,,
1,both,social,K,2,10,4,4,0.4,1,,
1,1,social,L,2,6,4,2,0.666666667,0.5,,
1,2,social,L,0,8,5,5,0.625,1,,
1,both,social,L,2,14,9,7,0.642857143,0.777777778,,
1,1,isolated,M,1,6,4,3,0.666666667,0.75,,
1,2,isolated,M,0,1,0,0,0,NA,,
1,both,isolated,M,1,7,4,3,0.571428571,0.75,,
1,1,isolated,N,2,5,3,1,0.6,0.333333333,,
1,2,isolated,N,0,0,0,0,NA,NA,,
1,both,isolated,N,2,5,3,1,0.6,0.333333333,,
1,1,isolated,O,4,13,4,3,0.307692308,0.75,,
1,2,isolated,O,0,6,1,1,0.166666667,1,,
1,both,isolated,O,4,19,5,4,0.263157895,0.8,,
1,1,isolated,P,1,11,6,6,0.545454545,1,,
1,2,isolated,P,0,7,4,4,0.571428571,1,,
1,both,isolated,P,1,18,10,10,0.555555556,1,,
2,1,social,I,3,10,4,4,0.4,1,,
2,2,social,I,0,17,5,5,0.294117647,1,,
2,both,social,I,3,27,9,9,0.333333333,1,,
2,1,social,J,4,22,10,8,0.454545455,0.8,mistake in raw file; change before analyzing in R; need to correct two Nas to n,
2,2,social,J,1,18,8,4,0.444444444,0.5,,
2,both,social,J,5,40,18,12,0.45,0.666666667,,
2,1,social,K,1,5,2,2,0.4,1,,
2,2,social,K,6,36,23,12,0.638888889,0.52173913,,
2,both,social,K,7,41,25,14,0.609756098,0.56,,
2,1,social,L,0,0,0,0,NA,NA,,
2,2,social,L,1,13,9,6,0.692307692,0.666666667,,
2,both,social,L,1,13,9,6,0.692307692,0.666666667,,
2,1,isolated,M,3,13,9,6,0.692307692,0.666666667,mistake in raw file; change before analyzing in R; need to correct three Nas to n,
2,2,isolated,M,1,28,11,5,0.392857143,0.454545455,,
2,both,isolated,M,4,41,20,11,0.487804878,0.55,,
2,1,isolated,N,6,19,11,6,0.578947368,0.545454545,,
2,2,isolated,N,0,24,12,9,0.5,0.75,,
2,both,isolated,N,6,43,23,15,0.534883721,0.652173913,,
2,1,isolated,O,3,7,4,1,0.571428571,0.25,mistake in raw file,
2,2,isolated,O,2,12,6,3,0.5,0.5,,
2,both,isolated,O,5,19,10,4,0.526315789,0.4,,
2,1,isolated,P,1,1,0,0,0,NA,,
2,2,isolated,P,1,3,3,2,1,0.666666667,,
2,both,isolated,P,2,4,3,2,0.75,0.666666667,,
4,1,social,I,2,9,4,3,0.444444444,0.75,,
4,2,social,I,0,0,0,0,NA,NA,,
4,both,social,I,2,9,4,3,0.444444444,0.75,4,6
4,1,social,J,4,6,2,1,0.333333333,0.5,,
4,2,social,J,0,2,0,0,0,NA,,
4,both,social,J,4,8,2,1,0.25,0.5,,
4,1,social,K,1,7,3,3,0.428571429,1,,
4,2,social,K,4,13,11,8,0.846153846,0.727272727,,
4,both,social,K,5,20,14,11,0.7,0.785714286,,
4,1,social,L,3,8,6,5,0.75,0.833333333,,
4,2,social,L,0,9,8,7,0.888888889,0.875,,
4,both,social,L,3,17,14,12,0.823529412,0.857142857,,
4,1,isolated,M,0,2,2,2,1,1,,
4,2,isolated,M,2,6,3,2,0.5,0.666666667,,
4,both,isolated,M,2,8,5,4,0.625,0.8,,
4,1,isolated,N,2,4,2,1,0.5,0.5,,
4,2,isolated,N,1,3,2,2,0.666666667,1,,
4,both,isolated,N,3,7,4,3,0.571428571,0.75,,
4,1,isolated,O,1,4,4,3,1,0.75,,
4,2,isolated,O,1,6,5,4,0.833333333,0.8,,
4,both,isolated,O,2,10,9,7,0.9,0.777777778,,
4,1,isolated,P,2,4,3,2,0.75,0.666666667,,
4,2,isolated,P,1,3,1,1,0.333333333,1,,
4,both,isolated,P,3,7,4,3,0.571428571,0.75,,
3,1,social,I,0,11,10,10,0.909090909,1,,
3,2,social,I,1,2,1,1,0.5,1,,
3,both,social,I,1,13,11,11,0.846153846,1,,
3,1,social,J,1,13,8,5,0.615384615,0.625,,
3,2,social,J,0,0,0,0,NA,NA,,
3,both,social,J,1,13,8,5,0.615384615,0.625,,
3,1,social,K,0,16,6,1,0.375,0.166666667,,
3,2,social,K,1,1,1,0,1,0,,
3,both,social,K,1,17,7,1,0.411764706,0.142857143,,
3,1,social,L,0,6,4,4,0.666666667,1,,
3,2,social,L,0,0,0,0,NA,NA,,
3,both,social,L,0,6,4,4,0.666666667,1,,
3,1,isolated,M,2,5,2,2,0.4,1,,
3,2,isolated,M,3,6,5,3,0.833333333,0.6,,
3,both,isolated,M,5,11,7,5,0.636363636,0.714285714,,
3,1,isolated,N,2,27,19,16,0.703703704,0.842105263,,
3,2,isolated,N,2,10,16,16,1.6,1,,
3,both,isolated,N,4,37,35,32,0.945945946,0.914285714,,
3,1,isolated,O,4,13,23,23,1.769230769,1,,
3,2,isolated,O,0,41,8,6,0.195121951,0.75,,
3,both,isolated,O,5,54,31,29,0.574074074,0.935483871,,
3,1,isolated,P,3,20,14,10,0.7,0.714285714,,
3,2,isolated,P,1,1,0,0,0,NA,,
3,both,isolated,P,4,21,14,10,0.666666667,0.714285714,,
5,1,social,I,1,2,1,1,0.5,1,,
5,2,social,I,0,2,2,1,1,0.5,,
5,both,social,I,2,4,3,2,0.75,0.666666667,,
5,1,social,J,2,10,1,0,0.1,0,,
5,2,social,J,1,2,2,2,1,1,,
5,both,social,J,3,12,3,2,0.25,0.666666667,,
5,1,social,K,1,4,3,3,0.75,1,,
5,2,social,K,1,7,5,3,0.714285714,0.6,,
5,both,social,K,2,11,8,6,0.727272727,0.75,,
5,1,social,L,1,13,6,6,0.461538462,1,,
5,2,social,L,1,6,2,1,0.333333333,0.5,,
5,both,social,L,2,19,8,7,0.421052632,0.875,,
5,1,isolated,M,3,4,1,1,0.25,1,,
5,2,isolated,M,1,2,2,0,1,0,,
5,both,isolated,M,4,6,3,1,0.5,0.333333333,,
5,1,isolated,N,1,2,1,1,0.5,1,,
5,2,isolated,N,0,10,5,3,0.5,0.6,,
5,both,isolated,N,1,12,6,4,0.5,0.666666667,,
5,1,isolated,O,2,9,3,2,0.333333333,0.666666667,,
5,2,isolated,O,3,6,2,1,0.333333333,0.5,,
5,both,isolated,O,5,15,5,3,0.333333333,0.6,,
5,1,isolated,P,3,4,3,1,0.75,0.333333333,,
5,2,isolated,P,0,5,4,3,0.8,0.75,,
5,both,isolated,P,3,9,7,4,0.777777778,0.571428571,,
6,1,social,I,0,6,5,4,0.833333333,0.8,,
6,2,social,I,0,6,1,1,0.166666667,1,,
6,both,social,I,0,12,6,5,0.5,0.833333333,7,7
6,1,social,J,1,2,1,1,0.5,1,,
6,2,social,J,0,1,1,0,1,0,,
6,both,social,J,1,3,2,1,0.666666667,0.5,1,2
6,1,social,K,0,4,3,1,0.75,0.333333333,,
6,2,social,K,3,13,10,4,0.769230769,0.4,,
6,both,social,K,3,17,13,5,0.764705882,0.384615385,9,12
6,1,social,L,0,9,0,0,0,NA,,
6,2,social,L,2,13,7,6,0.538461538,0.857142857,,
6,both,social,L,2,22,7,6,0.318181818,0.857142857,14,16
6,1,isolated,M,2,4,0,0,0,NA,,
6,2,isolated,M,0,4,2,2,0.5,1,,
6,both,isolated,M,2,8,2,2,0.25,1,4,6
6,1,isolated,N,3,9,6,4,0.666666667,0.666666667,,
6,2,isolated,N,1,4,2,2,0.5,1,,
6,both,isolated,N,4,13,8,6,0.615384615,0.75,4,8
6,1,isolated,O,1,11,5,2,0.454545455,0.4,,
6,2,isolated,O,0,4,3,2,0.75,0.666666667,,
6,both,isolated,O,1,15,8,4,0.533333333,0.5,10,11
6,1,isolated,P,1,7,4,3,0.571428571,0.75,,
6,2,isolated,P,0,7,1,0,0.142857143,0,,
6,both,isolated,P,1,14,5,3,0.357142857,0.6,10,11
